rows,columns,threads,time
5000,5000,8,0.280583
5000,5000,8,0.283446
5000,5000,8,0.259635
5000,5000,8,0.262447
5000,5000,8,0.264165
5000,5000,8,0.269154
5000,5000,8,0.271449
5000,5000,8,0.296026
5000,5000,8,0.282738
5000,5000,8,0.297173
5000,5000,8,0.282928
5000,5000,8,0.275775
5000,5000,8,0.272434
5000,5000,8,0.276363
5000,5000,8,0.280156
5000,5000,8,0.282032
5000,5000,8,0.258273
5000,5000,8,0.261865
5000,5000,8,0.265646
5000,5000,8,0.267096
5000,5000,8,0.271215
5000,5000,8,0.278202
5000,5000,8,0.290205
5000,5000,8,0.304426
5000,5000,8,0.283759
5000,5000,8,0.270647
5000,5000,8,0.286947
5000,5000,8,0.284459
5000,5000,8,0.281730
5000,5000,8,0.280442
5000,5000,8,0.276770
5000,5000,8,0.278753
5000,5000,8,0.281743
5000,5000,8,0.257441
5000,5000,8,0.261232
5000,5000,8,0.264354
5000,5000,8,0.294412
5000,5000,8,0.260307
5000,5000,8,0.286784
5000,5000,8,0.273250
5000,5000,8,0.285742
5000,5000,8,0.271870
5000,5000,8,0.267646
5000,5000,8,0.271379
5000,5000,8,0.272380
5000,5000,8,0.276161
5000,5000,8,0.277040
5000,5000,8,0.268057
5000,5000,8,0.271985
5000,5000,8,0.263914
5000,5000,8,0.264944
5000,5000,8,0.268502
5000,5000,8,0.271605
5000,5000,8,0.275211
5000,5000,8,0.278389
5000,5000,8,0.278901
5000,5000,8,0.292710
5000,5000,8,0.277215
5000,5000,8,0.291281
5000,5000,8,0.259416
5000,5000,8,0.263301
5000,5000,8,0.289704
5000,5000,8,0.283068
5000,5000,8,0.257413
5000,5000,8,0.260208
5000,5000,8,0.261252
5000,5000,8,0.264626
5000,5000,8,0.267198
5000,5000,8,0.269575
5000,5000,8,0.272258
5000,5000,8,0.272455
5000,5000,8,0.287252
5000,5000,8,0.273054
5000,5000,8,0.286665
5000,5000,8,0.269316
5000,5000,8,0.273107
5000,5000,8,0.276313
5000,5000,8,0.277277
5000,5000,8,0.280788
5000,5000,8,0.284399
5000,5000,8,0.259510
5000,5000,8,0.262822
5000,5000,8,0.265468
5000,5000,8,0.267992
5000,5000,8,0.270952
5000,5000,8,0.272451
5000,5000,8,0.285043
5000,5000,8,0.297887
5000,5000,8,0.284461
5000,5000,8,0.273878
5000,5000,8,0.275301
5000,5000,8,0.278763
5000,5000,8,0.281654
5000,5000,8,0.285008
5000,5000,8,0.259063
5000,5000,8,0.261658
5000,5000,8,0.264463
5000,5000,8,0.267260
5000,5000,8,0.268740
5000,5000,8,0.262085
5000,5000,8,0.265925
5000,5000,8,0.295643
5000,5000,8,0.280254
5000,5000,8,0.295937
5000,5000,8,0.280958
5000,5000,8,0.276579
5000,5000,8,0.278829
5000,5000,8,0.282034
5000,5000,8,0.257568
5000,5000,8,0.260455
5000,5000,8,0.263988
5000,5000,8,0.266791
5000,5000,8,0.268603
5000,5000,8,0.272520
5000,5000,8,0.276100
5000,5000,8,0.277541
5000,5000,8,0.281081
5000,5000,8,0.281182
5000,5000,8,0.296332
5000,5000,8,0.281619
5000,5000,8,0.267984
5000,5000,8,0.261597
5000,5000,8,0.264282
5000,5000,8,0.292995
5000,5000,8,0.259168
5000,5000,8,0.263985
5000,5000,8,0.267164
5000,5000,8,0.270529
5000,5000,8,0.299906
5000,5000,8,0.274008
5000,5000,8,0.275419
5000,5000,8,0.278278
5000,5000,8,0.281392
5000,5000,8,0.256949
5000,5000,8,0.262861
5000,5000,8,0.288407
5000,5000,8,0.274189
5000,5000,8,0.288570
5000,5000,8,0.277114
5000,5000,8,0.266371
5000,5000,8,0.269534
5000,5000,8,0.271047
5000,5000,8,0.274073
5000,5000,8,0.278331
5000,5000,8,0.280138
5000,5000,8,0.284491
5000,5000,8,0.259632
5000,5000,8,0.263573
5000,5000,8,0.264602
5000,5000,8,0.268720
5000,5000,8,0.270538
5000,5000,8,0.266458
5000,5000,8,0.293144
5000,5000,8,0.280668
5000,5000,8,0.294928
5000,5000,8,0.281254
5000,5000,8,0.275851
5000,5000,8,0.280272
5000,5000,8,0.283301
5000,5000,8,0.258456
5000,5000,8,0.260421
5000,5000,8,0.263312
5000,5000,8,0.266487
5000,5000,8,0.270516
5000,5000,8,0.273630
5000,5000,8,0.276881
5000,5000,8,0.281020
